Community Area,Counts,Year
41,1638,2021
4,1632,2021
21,1544,2021
56,1522,2021
17,1478,2021
51,1430,2021
76,1381,2021
48,1297,2021
39,1281,2021
20,1243,2021
60,1234,2021
65,1231,2021
10,1151,2021
54,1105,2021
45,1104,2021
52,988,2021
5,971,2021
64,915,2021
50,907,2021
34,901,2021
11,815,2021
72,771,2021
59,697,2021
62,689,2021
13,681,2021
57,661,2021
55,598,2021
36,575,2021
37,539,2021
18,502,2021
74,487,2021
12,453,2021
47,323,2021
9,233,2021
25,11435,2022
8,9628,2022
28,8624,2022
43,7723,2022
32,7278,2022
24,6578,2022
29,6141,2022
71,5815,2022
44,5615,2022
23,5604,2022
69,5534,2022
49,5532,2022
6,5279,2022
66,4483,2022
67,4444,2022
68,4360,2022
46,4037,2022
19,3733,2022
1,3711,2022
22,3657,2022
2,3620,2022
26,3571,2022
30,3533,2022
61,3529,2022
3,3514,2022
27,3455,2022
7,3224,2022
38,3163,2022
53,3140,2022
42,2962,2022
15,2747,2022
73,2691,2022
77,2616,2022
31,2609,2022
35,2531,2022
16,2362,2022
33,2267,2022
40,2061,2022
14,1958,2022
58,1951,2022
41,1929,2022
70,1841,2022
63,1809,2022
21,1808,2022
4,1801,2022
56,1768,2022
51,1640,2022
39,1618,2022
75,1606,2022
76,1523,2022
65,1469,2022
60,1411,2022
17,1411,2022
48,1231,2022
20,1195,2022
5,1176,2022
54,1155,2022
10,1140,2022
45,1081,2022
34,1063,2022
52,1058,2022
11,961,2022
13,917,2022
64,912,2022
57,905,2022
50,887,2022
72,825,2022
59,784,2022
62,782,2022
36,689,2022
18,611,2022
37,587,2022
55,567,2022
12,556,2022
74,493,2022
47,300,2022
9,274,2022
